City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
49,Asfi,MA,32.2994,-9.2372,69.26,85,2,12.01,clear sky
50,Margate,GB,51.3813,1.3862,63.88,82,0,5.99,clear sky
51,Mar Del Plata,AR,-38.0023,-57.5575,47.12,71,0,11.99,clear sky
52,Faanui,PF,-16.4833,-151.75,79.75,72,37,20.76,scattered clouds
53,Hithadhoo,MV,-0.6,73.0833,82.74,74,93,7.54,overcast clouds
54,Bluff,NZ,-46.6,168.3333,48.79,92,98,4.43,overcast clouds
55,Aktau,KZ,43.65,51.2,86.58,36,0,6.26,clear sky
56,Ludvika,SE,60.1496,15.1878,69.33,64,1,6.91,clear sky
57,Thompson,CA,55.7435,-97.8558,55.56,62,1,16.11,clear sky
58,Nome,US,64.5011,-165.4064,50.07,87,90,13.8,light rain
59,Petropavl,KZ,54.8753,69.1628,69.78,100,0,4.47,clear sky
60,Barrow,US,71.2906,-156.7887,44.02,81,7,17.47,clear sky
61,Lompoc,US,34.6391,-120.4579,59.11,86,90,4.61,overcast clouds
62,Yenagoa,NG,4.9247,6.2642,73.67,91,100,3.18,overcast clouds
63,Nyurba,RU,63.2842,118.3319,84.42,36,84,8.43,broken clouds
64,Yumen,CN,40.2833,97.2,97.7,11,0,14.12,clear sky
65,Rovaniemi,FI,66.5,25.7167,60.21,72,0,12.66,clear sky
66,Carnarvon,AU,-24.8667,113.6333,69.87,45,75,5.75,broken clouds
67,Aksu,CN,41.1231,80.2644,90.72,25,53,5.21,broken clouds
68,East London,ZA,-33.0153,27.9116,58.14,23,0,9.22,clear sky
69,Neyshabur,IR,36.2133,58.7958,81.91,21,72,6.76,broken clouds
70,Ostrovnoy,RU,68.0531,39.5131,60.19,64,28,5.84,scattered clouds
71,Kavaratti,IN,10.5669,72.642,82.83,77,100,15.5,overcast clouds
72,San Patricio,US,28.017,-97.5169,84.07,85,35,10.09,scattered clouds
73,Orlik,RU,52.5178,99.825,78.96,36,96,10.36,overcast clouds
74,Namatanai,PG,-3.6667,152.4333,83.57,76,100,12.59,overcast clouds
75,Chuy,UY,-33.6971,-53.4616,46.74,96,38,6.11,scattered clouds
76,Nishihara,JP,26.1842,127.7558,89.26,68,75,12.66,broken clouds
77,Khatanga,RU,71.9667,102.5,57.99,40,20,8.16,few clouds
78,Cape Town,ZA,-33.9258,18.4232,43.21,93,0,2.3,clear sky
79,Olafsvik,IS,64.8945,-23.7142,50.32,88,12,2.84,few clouds
80,Vila Velha,BR,-20.3297,-40.2925,67.95,94,40,0.0,scattered clouds
81,Port Alfred,ZA,-33.5906,26.891,57.04,30,0,11.18,clear sky
82,Souillac,MU,-20.5167,57.5167,75.36,78,75,14.97,light rain
83,Codrington,AU,-38.2667,141.9667,52.65,83,84,27.02,broken clouds
84,Nauta,PE,-4.5061,-73.5757,72.48,96,96,1.9,overcast clouds
85,Nikolskoye,RU,59.7035,30.7861,75.09,41,0,5.88,clear sky
86,Mahebourg,MU,-20.4081,57.7,75.25,78,75,14.97,light rain
87,Saskylakh,RU,71.9167,114.0833,55.27,44,8,6.11,clear sky
88,Nizwa,OM,22.9333,57.5333,85.19,65,86,12.55,overcast clouds
89,Portland,US,45.5234,-122.6762,66.56,72,16,1.99,few clouds
90,Bilma,NE,18.6853,12.9164,90.7,29,49,2.73,scattered clouds
91,Yar-Sale,RU,66.8333,70.8333,58.66,46,68,7.45,broken clouds
92,New Norfolk,AU,-42.7826,147.0587,56.57,80,77,1.01,broken clouds
93,Odweyne,SO,9.4092,45.064,71.22,56,100,20.67,overcast clouds
94,Sitka,US,57.0531,-135.33,54.39,95,98,1.32,overcast clouds
95,Caxito,AO,-8.5785,13.6643,72.25,87,59,2.57,broken clouds
96,Cherskiy,RU,68.75,161.3,68.38,35,84,6.76,broken clouds
97,Mayo,US,38.8876,-76.5119,83.21,88,1,1.01,clear sky
98,Clyde River,CA,70.4692,-68.5914,41.23,93,20,2.3,few clouds
99,Algeciras,ES,36.1333,-5.4505,71.26,93,20,7.16,few clouds
100,Slave Lake,CA,55.2834,-114.769,49.98,87,75,5.75,broken clouds
101,Veshenskaya,RU,49.6303,41.7334,78.8,61,32,2.33,scattered clouds
102,Buin,CL,-33.7333,-70.75,46.74,74,0,5.5,clear sky
103,Saint-Leu,RE,-21.15,55.2833,72.43,69,8,7.34,clear sky
104,Ponta Do Sol,PT,32.6667,-17.1,67.71,85,5,1.21,clear sky
105,Banihal,IN,33.4167,75.2,81.16,59,33,4.09,scattered clouds
106,Ilulissat,GL,69.2167,-51.1,41.52,68,78,7.52,broken clouds
107,Kodiak,US,57.79,-152.4072,60.13,80,74,2.46,broken clouds
108,Sinfra,CI,6.6167,-5.9167,74.57,99,100,2.26,light rain
109,Kavieng,PG,-2.5744,150.7967,82.74,78,83,10.85,light rain
110,Lapua,FI,62.9693,23.0088,69.12,62,17,3.69,few clouds
111,Port Blair,IN,11.6667,92.75,84.04,75,98,12.21,overcast clouds
112,Messina,IT,38.1933,15.5497,79.74,68,75,1.99,broken clouds
113,Benjamin Constant,BR,-4.3831,-70.0311,73.53,100,79,1.9,broken clouds
114,Lebu,CL,-37.6167,-73.65,43.75,81,18,5.88,few clouds
115,Linoan,PH,7.626,125.9741,86.99,67,100,5.88,overcast clouds
116,Hasaki,JP,35.7333,140.8333,88.09,73,7,9.6,clear sky
117,Latung,PH,5.5,120.8833,82.72,73,60,9.42,broken clouds
118,Road Town,VG,18.4167,-64.6167,81.19,77,21,19.77,few clouds
119,Tiksi,RU,71.6872,128.8694,40.44,73,61,19.37,broken clouds
120,Ferkessedougou,CI,9.6,-5.2,71.87,95,100,4.81,light rain
121,Gayny,RU,60.3071,54.3241,73.65,58,43,2.42,scattered clouds
122,Okhotsk,RU,59.3833,143.3,58.6,91,100,5.1,light rain
123,Agirish,RU,61.9247,63.0231,69.67,41,82,3.89,broken clouds
124,Ulaanbaatar,MN,47.9077,106.8832,75.33,50,40,4.47,scattered clouds
125,Marsh Harbour,BS,26.5412,-77.0636,81.39,71,3,8.7,clear sky
126,Abnub,EG,27.2696,31.1511,82.62,21,8,2.8,clear sky
127,Nouadhibou,MR,20.931,-17.0347,66.18,100,40,11.5,scattered clouds
128,Avarua,CK,-21.2078,-159.775,75.25,83,75,8.05,light rain
129,Cabo San Lucas,MX,22.8909,-109.9124,86.5,53,38,10.16,scattered clouds
130,Hirara,JP,24.8,125.2833,88.07,70,75,14.97,broken clouds
131,Cabedelo,BR,-6.9811,-34.8339,74.07,90,8,9.33,clear sky
132,Itamaraju,BR,-17.0392,-39.5311,63.16,97,6,3.38,clear sky
133,Atuona,PF,-9.8,-139.0333,77.61,75,11,20.31,few clouds
134,Bredy,RU,52.4153,60.3411,74.62,56,95,12.5,overcast clouds
135,Puerto Ayora,EC,-0.7393,-90.3518,70.56,95,88,4.0,overcast clouds
136,Tongchuan,CN,35.0806,109.0897,89.73,47,21,6.4,few clouds
137,Vidim,RU,56.4088,103.1106,89.89,28,23,7.61,few clouds
138,Dauphin,CA,51.1494,-100.0502,71.74,78,75,6.91,haze
139,Padang,ID,-0.9492,100.3543,87.85,55,60,5.17,broken clouds
140,Saldanha,ZA,-33.0117,17.9442,37.45,74,0,7.25,clear sky
141,Mareeba,AU,-17.0,145.4333,84.33,71,41,8.52,scattered clouds
142,Teya,RU,60.3778,92.6267,72.01,35,98,3.94,overcast clouds
143,Yulara,AU,-25.2406,130.9889,66.04,34,17,3.44,few clouds
144,Batsfjord,NO,70.6345,29.7185,53.28,79,91,12.84,overcast clouds
145,Ouesso,CG,1.6136,16.0517,74.41,73,89,2.57,overcast clouds
146,Bud,US,39.447,-86.1758,71.69,97,100,1.12,overcast clouds
147,Antalaha,MG,-14.9003,50.2788,75.52,63,44,10.09,scattered clouds
148,Terrace,CA,54.5163,-128.6035,58.42,82,90,2.3,overcast clouds
149,Buraydah,SA,26.326,43.975,93.65,14,100,17.81,overcast clouds
150,Alofi,NU,-19.0595,-169.9187,76.89,88,17,11.5,few clouds
151,Te Anau,NZ,-45.4167,167.7167,46.78,93,93,1.88,overcast clouds
152,Ballina,AU,-28.8667,153.5667,69.84,34,9,21.85,clear sky
153,Camden,US,39.7835,-74.9663,80.56,86,20,3.24,few clouds
154,Koutiala,ML,12.3917,-5.4642,73.24,89,99,6.76,overcast clouds
155,Genthin,DE,52.4,12.1667,67.71,96,100,7.4,overcast clouds
156,Zilair,RU,52.2332,57.4392,66.34,90,99,9.84,overcast clouds
157,Kahului,US,20.8947,-156.47,77.85,80,25,11.01,scattered clouds
158,San Juan,AR,-31.5375,-68.5364,48.43,40,1,15.73,clear sky
159,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,83,0,12.66,clear sky
160,Robertsport,LR,6.7533,-11.3686,74.48,97,100,6.62,heavy intensity rain
161,Kuching,MY,1.55,110.3333,91.62,58,40,4.61,scattered clouds
162,Nacala,MZ,-14.5428,40.6728,67.32,82,20,17.27,few clouds
163,Sao Filipe,CV,14.8961,-24.4956,74.1,83,15,7.7,few clouds
164,Torbay,CA,47.6666,-52.7314,61.68,96,75,8.05,broken clouds
165,Camacha,PT,33.0833,-16.3333,65.62,77,75,6.91,broken clouds
166,Moerai,PF,-22.4333,-151.3333,75.29,72,100,23.6,overcast clouds
167,Bahia Blanca,AR,-38.7196,-62.2724,41.31,73,29,9.8,scattered clouds
168,Axim,GH,4.8699,-2.2405,76.03,86,99,10.58,overcast clouds
169,Matara,LK,5.9485,80.5353,84.97,67,75,14.65,broken clouds
170,Terracina,IT,41.2863,13.2217,72.1,88,14,3.56,few clouds
171,Acarau,BR,-2.8856,-40.12,76.5,88,21,10.83,few clouds
172,Mehamn,NO,71.0357,27.8492,50.31,90,97,18.45,overcast clouds
173,Leningradskiy,RU,69.3833,178.4167,40.1,87,96,5.68,overcast clouds
174,Guasdualito,VE,7.2424,-70.7324,72.68,97,72,2.59,broken clouds
175,Talnakh,RU,69.4865,88.3972,52.11,79,99,2.21,overcast clouds
176,Damghan,IR,36.1683,54.348,84.76,31,2,4.21,clear sky
177,Ritchie,ZA,-29.038,24.6028,29.41,51,0,5.23,clear sky
178,Erenhot,CN,43.6475,111.9767,91.4,27,22,15.26,few clouds
179,Kruisfontein,ZA,-34.0033,24.7314,48.78,29,0,6.82,clear sky
180,Kapaa,US,22.0752,-159.319,82.38,82,90,3.0,overcast clouds
181,Senador Jose Porfirio,BR,-2.5908,-51.9542,73.58,90,11,2.86,few clouds
182,Pontianak,ID,-0.0333,109.3333,89.58,62,75,5.75,broken clouds
183,Dingle,PH,10.9995,122.6711,84.45,78,99,13.06,light rain
184,Surab,PK,28.4914,66.2585,82.17,46,100,13.76,overcast clouds
185,Bela,IN,25.9333,81.9833,102.07,34,90,8.86,moderate rain
186,Tars,TR,36.9188,34.8784,88.18,59,0,3.4,clear sky
187,Santa Maria,BR,-29.6842,-53.8069,47.82,93,5,1.28,clear sky
188,Baruun-Urt,MN,46.6806,113.2792,86.02,35,59,10.6,broken clouds
189,Seoul,KR,37.5683,126.9778,91.0,50,0,4.61,clear sky
190,Victoria,HK,22.2855,114.1577,91.45,79,100,1.99,overcast clouds
191,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,77,40,11.97,scattered clouds
192,Mount Gambier,AU,-37.8333,140.7667,51.71,87,40,19.57,light intensity shower rain
193,Tooele,US,40.5308,-112.2983,79.95,41,1,10.36,clear sky
194,Srednekolymsk,RU,67.45,153.6833,75.49,36,50,7.38,scattered clouds
195,Qingdao,CN,36.0986,120.3719,87.4,58,0,13.42,clear sky
196,Gat,IL,31.61,34.7642,83.79,9,0,2.93,clear sky
197,Waterloo,CA,43.4668,-80.5164,67.46,89,90,1.01,overcast clouds
198,Bairnsdale,AU,-37.8333,147.6167,55.08,55,43,3.0,scattered clouds
199,Whitehorse,CA,60.7161,-135.0538,68.77,22,20,5.75,few clouds
200,Red Bluff,US,40.1785,-122.2358,82.11,23,0,3.67,clear sky
201,Sakaraha,MG,-22.9,44.5333,67.82,57,0,6.8,clear sky
202,Port Macquarie,AU,-31.4333,152.9167,60.89,59,7,18.28,clear sky
203,Turukhansk,RU,65.8167,87.9833,62.91,77,21,16.69,moderate rain
204,Borzya,RU,50.3833,116.5167,81.95,42,94,10.36,overcast clouds
205,Tura,IN,25.5198,90.2201,75.06,97,100,4.34,overcast clouds
206,Biak,ID,-0.9131,122.8766,73.4,91,100,7.96,overcast clouds
207,Flinders,AU,-34.5833,150.8552,56.17,53,32,14.0,scattered clouds
208,Champerico,GT,14.3,-91.9167,81.03,81,93,5.44,overcast clouds
209,Sangerhausen,DE,51.4667,11.3,65.05,87,100,7.23,overcast clouds
210,Mogadishu,SO,2.0371,45.3438,78.67,65,20,17.27,few clouds
211,Tammisaari,FI,59.9736,23.4339,70.39,47,0,6.26,clear sky
212,Mitu,CO,1.1983,-70.1733,70.9,99,96,1.3,overcast clouds
213,Nerchinskiy Zavod,RU,51.3088,119.61,77.85,59,99,4.29,overcast clouds
214,Pacific Grove,US,36.6177,-121.9166,59.99,92,61,1.01,broken clouds
215,Yantai,CN,37.5333,121.4,80.85,72,85,8.32,overcast clouds
216,Vizinga,RU,61.0749,50.1031,75.78,50,57,3.44,broken clouds
217,Sept-Iles,CA,50.2001,-66.3821,55.06,92,1,2.3,clear sky
218,Esil,KZ,51.9556,66.4042,79.45,39,99,15.9,overcast clouds
219,Severo-Kurilsk,RU,50.6789,156.125,57.9,83,100,5.64,overcast clouds
220,Kollam,IN,8.8833,76.6,87.67,72,92,15.57,overcast clouds
221,Butaritari,KI,3.0707,172.7902,83.88,75,100,17.49,overcast clouds
222,Mezen,RU,65.8522,44.24,60.8,61,93,7.0,overcast clouds
223,Port Hardy,CA,50.6996,-127.4199,60.98,72,75,11.5,light rain
224,Asau,RO,46.4333,26.4,77.76,56,16,2.98,few clouds
225,Lianyuan,CN,27.6883,111.6642,93.61,54,100,5.21,overcast clouds
226,Salinas,US,36.6777,-121.6555,60.42,83,29,3.13,scattered clouds
227,Zabolotovka,RU,50.2737,39.3147,75.83,70,2,5.75,clear sky
228,Invermere,CA,50.5167,-116.0354,65.77,42,38,4.97,scattered clouds
229,Horadiz,AZ,39.4488,47.3353,79.57,36,4,3.56,clear sky
230,Minab,IR,27.1467,57.0801,99.9,45,87,1.48,overcast clouds
231,Ojinaga,MX,29.5667,-104.4167,85.41,39,1,3.44,clear sky
232,College,US,64.8569,-147.8028,78.78,52,1,1.99,clear sky
233,Riyadh,SA,24.6877,46.7219,93.34,39,76,11.23,broken clouds
234,Broken Hill,AU,-31.95,141.4333,55.11,44,40,25.32,scattered clouds
235,Puerto Maldonado,PE,-12.6,-69.1833,72.91,83,57,0.49,broken clouds
236,Arrecife,ES,28.963,-13.5477,69.87,88,20,10.36,few clouds
237,Emba,KZ,48.8264,58.1442,88.68,26,43,15.23,scattered clouds
238,Hambantota,LK,6.1241,81.1185,88.14,74,20,11.5,few clouds
239,Taltal,CL,-25.4,-70.4833,58.26,69,100,2.62,overcast clouds
240,Constitucion,CL,-35.3333,-72.4167,46.04,63,0,12.84,clear sky
241,Archidona,ES,37.0965,-4.3887,71.91,45,0,3.62,clear sky
242,Katsuura,JP,35.1333,140.3,89.71,74,7,7.02,clear sky
243,Novoagansk,RU,61.9449,76.6625,55.98,76,97,2.37,overcast clouds
244,Rexburg,US,43.826,-111.7897,68.43,39,31,6.08,scattered clouds
245,Princeton,US,25.5384,-80.4089,82.02,90,75,5.75,broken clouds
246,San Cristobal,VE,7.7669,-72.225,64.31,96,52,2.86,broken clouds
247,Parana,AR,-31.732,-60.5238,49.55,98,0,6.91,clear sky
248,Kanniyakumari,IN,8.0833,77.5667,86.88,58,86,18.59,overcast clouds
249,Bull Savanna,JM,17.8868,-77.5902,75.36,84,95,5.84,overcast clouds
250,Georgetown,MY,5.4112,100.3354,89.55,66,20,8.01,few clouds
251,Luba,GQ,3.4568,8.5547,71.49,83,96,6.91,light rain
252,Half Moon Bay,US,37.4636,-122.4286,65.17,85,1,0.0,clear sky
253,Rio Gallegos,AR,-51.6226,-69.2181,28.45,93,0,5.75,clear sky
254,Iquitos,PE,-3.7481,-73.2472,75.24,94,20,2.3,few clouds
255,Xuanzhou,CN,30.9525,118.7553,76.53,97,100,6.42,light rain
256,Nelson Bay,AU,-32.7167,152.15,57.99,61,46,4.0,scattered clouds
257,Birao,CF,10.2849,22.7882,75.94,81,92,4.74,overcast clouds
258,Aurora,US,39.7294,-104.8319,74.68,51,40,3.0,scattered clouds
259,Seda,LV,57.65,25.75,74.32,71,29,2.95,scattered clouds
260,Araouane,ML,18.9048,-3.5265,90.21,30,19,8.41,few clouds
261,Rusera,IN,25.75,86.0333,95.02,51,94,5.1,overcast clouds
262,Wasilla,US,61.5814,-149.4394,73.02,66,17,1.01,few clouds
263,Chifeng,CN,42.2683,118.9636,85.1,54,78,18.77,broken clouds
264,Kidal,ML,18.4411,1.4078,88.14,14,6,8.28,clear sky
265,Tecoanapa,MX,16.5167,-98.75,77.09,87,100,5.57,overcast clouds
266,Esperance,AU,-33.8667,121.9,60.64,75,100,6.22,overcast clouds
267,Anuchino,RU,43.9622,133.0544,89.85,50,16,8.9,few clouds
268,Margherita Di Savoia,IT,41.3742,16.1502,74.93,64,46,9.31,scattered clouds
269,Vanimo,PG,-2.6741,141.3028,84.56,72,76,6.29,broken clouds
270,Roma,US,43.2128,-75.4557,69.66,91,100,1.01,overcast clouds
271,Honggang,CN,46.4667,124.8667,86.58,62,73,2.46,broken clouds
272,Hilo,US,19.7297,-155.09,75.79,91,64,4.5,light rain
273,Semey,KZ,50.4111,80.2275,75.42,35,0,13.42,clear sky
274,Pong,TH,19.1493,100.2752,93.07,52,25,3.36,scattered clouds
275,Pisco,PE,-13.7,-76.2167,58.01,88,75,2.3,broken clouds
276,Fortuna,US,40.5982,-124.1573,57.33,92,90,1.01,overcast clouds
277,Ketchikan,US,55.3422,-131.6461,53.06,97,100,2.93,light rain
278,Novo Oriente,BR,-5.5344,-40.7742,69.91,73,2,3.89,clear sky
279,Oranjemund,NA,-28.55,16.4333,52.32,66,0,6.06,clear sky
280,Zhenhai,CN,24.2582,118.0905,92.08,73,89,10.16,overcast clouds
281,Nguru,NG,12.8791,10.4526,79.61,68,79,15.61,broken clouds
282,Lavrentiya,RU,65.5833,-171.0,43.54,98,100,11.32,light rain
283,Richards Bay,ZA,-28.783,32.0377,56.75,72,0,6.93,clear sky
284,Enshi,CN,30.3,109.4833,82.49,79,99,2.59,overcast clouds
285,Oyem,GA,1.5995,11.5793,65.68,97,100,3.11,overcast clouds
286,Juegang,CN,32.3174,121.1855,80.98,77,98,15.82,light rain
287,Bintulu,MY,3.1667,113.0333,90.01,62,40,3.0,scattered clouds
288,Aktas,KZ,49.7789,72.9608,78.55,25,31,12.71,scattered clouds
289,Saint George,US,37.1041,-113.5841,90.63,35,1,8.99,clear sky
290,Haines Junction,CA,60.7522,-137.5108,62.55,36,9,2.3,clear sky
291,Juybar,IR,36.6412,52.9124,82.56,67,60,4.27,broken clouds
292,Isangel,VU,-19.55,169.2667,78.46,82,7,6.35,clear sky
293,Berlevag,NO,70.8578,29.0864,52.36,80,94,18.03,overcast clouds
294,Guaruja,BR,-23.9931,-46.2564,69.4,26,100,1.01,overcast clouds
295,Chumikan,RU,54.7183,135.315,70.48,57,86,6.22,overcast clouds
296,Mahajanga,MG,-15.7167,46.3167,73.42,56,0,8.05,clear sky
297,Malangali,TZ,-8.5667,34.85,60.04,61,9,15.01,clear sky
298,Naze,JP,28.3667,129.4833,81.52,75,2,13.65,clear sky
299,Batangafo,CF,7.3008,18.2833,71.65,92,99,1.86,overcast clouds
300,Toamasina,MG,-18.1667,49.3833,66.2,94,75,5.75,light rain
301,Lannion,FR,48.75,-3.4167,61.68,100,0,3.44,clear sky
302,Pevek,RU,69.7008,170.3133,44.73,71,12,5.97,few clouds
303,Honningsvag,NO,70.9821,25.9704,49.78,88,100,17.05,light rain
304,North Bend,US,43.4065,-124.2243,57.92,87,20,3.44,few clouds
305,Antofagasta,CL,-23.65,-70.4,54.68,78,76,2.93,broken clouds
306,Byron Bay,AU,-28.65,153.6167,69.87,48,11,14.2,few clouds
307,La Romana,DO,18.4273,-68.9728,74.93,84,52,9.78,broken clouds
308,La Paz,BO,-16.5,-68.15,40.98,18,0,5.75,clear sky
309,Panacan,PH,9.2463,118.4082,86.09,68,99,6.31,overcast clouds
310,Muisne,EC,0.6,-80.0333,73.89,89,100,9.75,light rain
311,Buala,SB,-8.145,159.5921,84.06,75,46,10.11,scattered clouds
312,Trenggalek,ID,-8.05,111.7167,80.33,75,90,7.02,overcast clouds
313,Ucluelet,CA,48.9329,-125.5528,61.09,93,92,5.91,overcast clouds
314,Creel,MX,27.75,-107.6333,55.17,90,24,4.36,few clouds
315,Sosua,DO,19.7667,-70.5167,76.98,88,80,9.62,broken clouds
316,Baiquan,CN,47.5833,126.0833,87.28,54,9,3.13,clear sky
317,Mapiripan,CO,2.8892,-72.1256,71.64,95,96,2.71,overcast clouds
318,Sioux Lookout,CA,50.1001,-91.917,71.98,72,75,2.3,broken clouds
319,Nemuro,JP,43.3236,145.575,86.43,95,100,9.98,overcast clouds
320,Erdenet,MN,49.0333,104.0833,73.92,55,6,1.19,clear sky
321,Baoning,CN,25.3378,110.026,94.86,52,20,6.71,few clouds
322,Ambatondrazaka,MG,-17.8333,48.4167,63.72,65,66,9.84,broken clouds
323,Najran,SA,17.4924,44.1277,90.25,15,100,18.63,overcast clouds
324,Bathsheba,BB,13.2167,-59.5167,79.41,83,20,14.97,few clouds
325,Aramil,RU,56.6977,60.8369,71.71,49,40,8.95,scattered clouds
326,Parry Sound,CA,45.3501,-80.033,64.9,88,100,3.13,overcast clouds
327,Beringovskiy,RU,63.05,179.3167,55.13,71,30,6.98,scattered clouds
328,Noshiro,JP,40.2039,140.0242,90.54,65,0,9.24,clear sky
329,Tafresh,IR,34.692,50.013,74.12,36,3,9.15,clear sky
330,Shellbrook,CA,53.2168,-106.4011,60.03,49,7,11.23,light rain
331,Ileza,RU,61.0533,43.9002,71.67,59,81,1.74,broken clouds
332,Ixtapa,MX,20.7,-105.2,79.23,88,97,1.99,overcast clouds
333,Sunrise Manor,US,36.2111,-115.0731,99.55,18,1,10.36,clear sky
334,Oulainen,FI,64.2667,24.8,64.81,57,10,12.03,clear sky
335,Salalah,OM,17.0151,54.0924,78.69,92,64,17.18,broken clouds
336,Saint-Francois,FR,46.4154,3.9054,64.18,93,90,5.75,overcast clouds
337,Monrovia,LR,6.3005,-10.7969,74.97,94,100,8.84,moderate rain
338,Bima,ID,-8.4667,118.7167,89.51,44,61,1.9,broken clouds
339,Wajir,KE,1.7471,40.0573,77.5,57,100,25.14,overcast clouds
340,Bogale,MM,16.2833,95.4,87.01,67,84,8.7,broken clouds
341,Languyan,PH,5.2618,120.0807,85.57,66,91,8.7,overcast clouds
342,Sobolevo,RU,54.4299,31.8996,75.78,76,82,4.09,broken clouds
343,Mangaratiba,BR,-22.9597,-44.0406,69.03,89,81,3.36,broken clouds
344,Samarai,PG,-10.6167,150.6667,81.75,80,35,10.76,scattered clouds
345,Northam,GB,51.0333,-4.2167,66.72,95,0,5.39,clear sky
346,Kutina,HR,45.475,16.7819,66.18,98,100,9.44,overcast clouds
347,Huoqiu,CN,32.3394,116.2694,82.6,82,93,12.73,light rain
348,Shache,CN,38.4167,77.2406,92.91,19,0,9.08,clear sky
349,Dakar,SN,14.6937,-17.4441,79.68,82,25,7.74,scattered clouds
350,Blythe,US,33.6103,-114.5964,98.04,27,6,14.18,clear sky
351,Forbes,AU,-33.3833,148.0167,52.92,70,59,22.24,broken clouds
352,Nan,TH,18.8333,100.6667,86.02,66,40,9.22,scattered clouds
